source_a,source_b,size_a,size_b,overlap,overlap_pct_of_a,overlap_pct_of_b
block: AdGuard DNS filter,block: AdGuard DNS filter,118511,118511,118511,100.00,100.00
block: AdGuard DNS filter,block: Adblock Warning Removal List,118511,1834,1122,0.95,61.18
block: AdGuard DNS filter,block: EasyList China,118511,11495,4996,4.22,43.46
block: AdGuard DNS filter,block: EasyPrivacy,118511,49624,23469,19.80,47.29
block: AdGuard DNS filter,block: Fanboy Annoyance List,118511,28196,110,0.09,0.39
block: AdGuard DNS filter,block: Fanboy Social Blocking List,118511,5076,7,0.01,0.14
block: AdGuard DNS filter,block: HaGeZi Light (adblock),118511,42431,16652,14.05,39.24
block: AdGuard DNS filter,block: StevenBlack Unified hosts,118511,97125,4725,3.99,4.86
block: AdGuard DNS filter,block: anti-AD (AdGuard),118511,95141,65873,55.58,69.24
block: AdGuard DNS filter,block: hBlock hosts_adblock,118511,440043,118291,99.81,26.88
block: AdGuard DNS filter,direct: Loyalsoldier direct (jsdelivr),118511,588,16,0.01,2.72
block: AdGuard DNS filter,direct: Loyalsoldier direct (raw),118511,588,16,0.01,2.72
block: Adblock Warning Removal List,block: AdGuard DNS filter,1834,118511,1122,61.18,0.95
block: Adblock Warning Removal List,block: Adblock Warning Removal List,1834,1834,1834,100.00,100.00
block: Adblock Warning Removal List,block: EasyList China,1834,11495,4,0.22,0.03
block: Adblock Warning Removal List,block: EasyPrivacy,1834,49624,16,0.87,0.03
block: Adblock Warning Removal List,block: Fanboy Annoyance List,1834,28196,38,2.07,0.13
block: Adblock Warning Removal List,block: Fanboy Social Blocking List,1834,5076,13,0.71,0.26
block: Adblock Warning Removal List,block: HaGeZi Light (adblock),1834,42431,352,19.19,0.83
block: Adblock Warning Removal List,block: StevenBlack Unified hosts,1834,97125,365,19.90,0.38
block: Adblock Warning Removal List,block: anti-AD (AdGuard),1834,95141,1122,61.18,1.18
block: Adblock Warning Removal List,block: hBlock hosts_adblock,1834,440043,1140,62.16,0.26
block: Adblock Warning Removal List,direct: Loyalsoldier direct (jsdelivr),1834,588,0,0.00,0.00
block: Adblock Warning Removal List,direct: Loyalsoldier direct (raw),1834,588,0,0.00,0.00
block: EasyList China,block: AdGuard DNS filter,11495,118511,4996,43.46,4.22
block: EasyList China,block: Adblock Warning Removal List,11495,1834,4,0.03,0.22
block: EasyList China,block: EasyList China,11495,11495,11495,100.00,100.00
block: EasyList China,block: EasyPrivacy,11495,49624,140,1.22,0.28
block: EasyList China,block: Fanboy Annoyance List,11495,28196,113,0.98,0.40
block: EasyList China,block: Fanboy Social Blocking List,11495,5076,33,0.29,0.65
block: EasyList China,block: HaGeZi Light (adblock),11495,42431,287,2.50,0.68
block: EasyList China,block: StevenBlack Unified hosts,11495,97125,34,0.30,0.04
block: EasyList China,block: anti-AD (AdGuard),11495,95141,5008,43.57,5.26
block: EasyList China,block: hBlock hosts_adblock,11495,440043,5013,43.61,1.14
block: EasyList China,direct: Loyalsoldier direct (jsdelivr),11495,588,0,0.00,0.00
block: EasyList China,direct: Loyalsoldier direct (raw),11495,588,0,0.00,0.00
block: EasyPrivacy,block: AdGuard DNS filter,49624,118511,23469,47.29,19.80
block: EasyPrivacy,block: Adblock Warning Removal List,49624,1834,16,0.03,0.87
block: EasyPrivacy,block: EasyList China,49624,11495,140,0.28,1.22
block: EasyPrivacy,block: EasyPrivacy,49624,49624,49624,100.00,100.00
block: EasyPrivacy,block: Fanboy Annoyance List,49624,28196,823,1.66,2.92
block: EasyPrivacy,block: Fanboy Social Blocking List,49624,5076,201,0.41,3.96
block: EasyPrivacy,block: HaGeZi Light (adblock),49624,42431,4797,9.67,11.31
block: EasyPrivacy,block: StevenBlack Unified hosts,49624,97125,1826,3.68,1.88
block: EasyPrivacy,block: anti-AD (AdGuard),49624,95141,38970,78.53,40.96
block: EasyPrivacy,block: hBlock hosts_adblock,49624,440043,43109,86.87,9.80
block: EasyPrivacy,direct: Loyalsoldier direct (jsdelivr),49624,588,10,0.02,1.70
block: EasyPrivacy,direct: Loyalsoldier direct (raw),49624,588,10,0.02,1.70
block: Fanboy Annoyance List,block: AdGuard DNS filter,28196,118511,110,0.39,0.09
